mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
52.63980958,0.505763429,1.422557497,0.031325239,0.01,10,rbf,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.509259259,0.458333333,0.50617284,0.481481481,0.479938272,0.473765432,0.476080247,0.43595679,0.468364198,0.477623457,0.476697531,0.020096717,40,0.518604252,0.462705761,0.50574417,0.485339506,0.475737311,0.474622771,0.485168038,0.442301097,0.478309328,0.505401235,0.483393347,0.02123343
66.88567581,0.468372531,1.64381597,0.030607954,0.01,100,rbf,"{'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}",0.361111111,0.375771605,0.36882716,0.371141975,0.372685185,0.371141975,0.36882716,0.372685185,0.362654321,0.351851852,0.367669753,0.006790562,44,0.367455418,0.369341564,0.36616941,0.368655693,0.370627572,0.366340878,0.368912894,0.370541838,0.372513717,0.369084362,0.368964335,0.001872927
71.97408731,0.587926574,1.723588967,0.064017111,0.01,1000,rbf,"{'C': 0.01, 'gamma': 1000, 'kernel': 'rbf'}",0.354166667,0.362654321,0.351080247,0.358024691,0.341820988,0.352623457,0.345679012,0.352623457,0.341049383,0.332561728,0.349228395,0.008489057,45,0.349365569,0.348422497,0.349708505,0.349194102,0.34739369,0.349194102,0.349794239,0.349708505,0.351080247,0.35159465,0.34954561,0.001133148
43.30983343,0.513605208,1.327973914,0.064422545,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.516975309,0.529320988,0.520061728,0.522376543,0.526234568,0.530864198,0.528549383,0.525462963,0.503858025,0.519290123,0.522299383,0.007547937,38,0.522890947,0.522119342,0.52297668,0.522205075,0.522290809,0.52186214,0.522376543,0.521176269,0.523919753,0.523062414,0.522487997,0.000718376
33.97105005,0.368042818,1.217755795,0.04781849,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.576388889,0.587191358,0.550925926,0.578703704,0.584104938,0.580246914,0.577932099,0.582561728,0.576388889,0.569444444,0.576388889,0.009662022,33,0.580589849,0.579989712,0.574588477,0.580418381,0.580246914,0.581018519,0.578017833,0.573302469,0.575017147,0.574674211,0.577786351,0.002896245
28.28438797,0.350642516,1.114614177,0.024172036,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.661265432,0.661265432,0.662037037,0.672839506,0.658950617,0.671296296,0.659722222,0.695216049,0.655864198,0.664351852,0.666280864,0.010875251,27,0.668124143,0.669495885,0.672582305,0.670181756,0.667781207,0.669753086,0.66872428,0.669495885,0.670181756,0.670781893,0.669710219,0.001309373
30.88450217,0.579613133,1.047527552,0.023884195,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.783179012,0.782407407,0.780092593,0.796296296,0.795524691,0.782407407,0.778549383,0.804783951,0.774691358,0.769290123,0.784722222,0.010317602,21,0.795781893,0.789180384,0.792609739,0.795867627,0.792524005,0.791923868,0.794152949,0.796724966,0.788408779,0.790723594,0.792789781,0.002703936
44.81985848,1.119138421,1.259046078,0.034406219,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.780864198,0.787037037,0.767746914,0.787037037,0.774691358,0.773919753,0.783950617,0.770833333,0.769290123,0.762345679,0.775771605,0.008138146,22,0.806069959,0.803412209,0.798782579,0.799211248,0.805555556,0.802897805,0.804183813,0.80366941,0.799554184,0.80366941,0.802700617,0.00248097
63.1023284,2.897102731,1.624099708,0.186705043,0.1,100,rbf,"{'C': 0.1, 'gamma': 100, 'kernel': 'rbf'}",0.610339506,0.622685185,0.584876543,0.596450617,0.621141975,0.597222222,0.612654321,0.601080247,0.604938272,0.583333333,0.603472222,0.012885802,30,0.62765775,0.628772291,0.631430041,0.63074417,0.632373114,0.630315501,0.627743484,0.631258573,0.629115226,0.624571331,0.629398148,0.002205228
69.97711217,3.772034928,1.605426693,0.135181746,0.1,1000,rbf,"{'C': 0.1, 'gamma': 1000, 'kernel': 'rbf'}",0.530864198,0.546296296,0.518518519,0.532407407,0.541666667,0.528549383,0.522376543,0.523919753,0.510030864,0.50617284,0.526080247,0.012041982,36,0.546724966,0.538580247,0.546982167,0.541237997,0.540895062,0.542352538,0.537808642,0.546296296,0.541152263,0.540123457,0.542215364,0.003171273
36.69425805,2.285429582,1.289246035,0.16664042,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.567901235,0.570987654,0.549382716,0.574074074,0.578703704,0.569444444,0.567901235,0.581018519,0.561728395,0.564814815,0.568595679,0.00851182,34,0.570473251,0.56978738,0.571502058,0.571844993,0.572273663,0.572702332,0.567986968,0.571759259,0.567986968,0.569358711,0.570567558,0.001636799
30.60655,1.674865482,1.181688046,0.12651824,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.614969136,0.618055556,0.622685185,0.637345679,0.624228395,0.641975309,0.62191358,0.654320988,0.618055556,0.630401235,0.628395062,0.011944684,29,0.633058985,0.629886831,0.63383059,0.632887517,0.631687243,0.626457476,0.634516461,0.625085734,0.632030178,0.631858711,0.631129973,0.002951849
21.5619664,1.617741921,0.990170574,0.112484922,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.75154321,0.75,0.746141975,0.760802469,0.764660494,0.760030864,0.74845679,0.783950617,0.759259259,0.74845679,0.757330247,0.010748598,24,0.761745542,0.760288066,0.763288752,0.766375171,0.763288752,0.765003429,0.762259945,0.762688615,0.764660494,0.766032236,0.7635631,0.001841902
18.7078747,1.4611817,0.750978661,0.077808497,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.851851852,0.858796296,0.845679012,0.858796296,0.855709877,0.851080247,0.848765432,0.847993827,0.847993827,0.839506173,0.850617284,0.005714046,14,0.863340192,0.861539781,0.862139918,0.861368313,0.862482853,0.864454733,0.862568587,0.862397119,0.862997257,0.862568587,0.862585734,0.000839842
31.320699,2.11698347,0.83782835,0.116735077,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.896604938,0.901234568,0.888888889,0.898919753,0.908950617,0.888888889,0.897376543,0.896604938,0.875771605,0.897376543,0.895061728,0.008424286,7,0.921210562,0.919238683,0.920096022,0.920353224,0.921896433,0.920353224,0.920438957,0.91829561,0.919495885,0.919753086,0.920113169,0.000958381
57.38272073,2.697047564,1.007161236,0.028100679,1,100,rbf,"{'C': 1, 'gamma': 100, 'kernel': 'rbf'}",0.867283951,0.87962963,0.866512346,0.87037037,0.875771605,0.865740741,0.880401235,0.869598765,0.863425926,0.866512346,0.870524691,0.00569944,12,0.942301097,0.941272291,0.944530178,0.942215364,0.94170096,0.941872428,0.942301097,0.94212963,0.94367284,0.943930041,0.942592593,0.001014562
70.77956681,1.47528031,1.171906638,0.043143787,1,1000,rbf,"{'C': 1, 'gamma': 1000, 'kernel': 'rbf'}",0.773919753,0.804012346,0.787037037,0.790123457,0.798611111,0.786265432,0.800154321,0.780864198,0.774691358,0.787037037,0.788271605,0.009755235,20,0.952160494,0.951045953,0.95361797,0.951560357,0.951560357,0.952246228,0.952674897,0.951388889,0.953703704,0.952846365,0.952280521,0.000875326
